,Tweet Text
56,"She is the Revolution. Sub kee kampain tang rahee hain. Sub Kee.
#امپورٹڈ_حکومت_نامنظور
#PakistanNeedsElections https://t.c…"
57,Pakistani is officially sold to Americans and handed to criminals. History wouldn’t forget this betrayal. You have placed lan…
58,"Credit goes to M&amp;M for making hashtag immortal. Bewaqoof larkiyan!

#امپورٹڈ_حکومت_نامنظور"
59,"The tallest oak in the forest was once a nut who held its ground.

Long Live Khan. Keep Going.

#امپورٹڈ_حکومت_نامنظور…"
60,"His one 'yes' to America could give him long tenure easily with no issues but he said 'No' for us, for his country and sele…"
61,A professional man like Dr Faisal Sultan is replaced by Qadir Patel. Kis kis baat par banda rona roye. #امپورٹڈ_حکومت_نامنظ…
62,"From the 34 newly imported cabinet members, 24 are out on Bail with cases pending for years.  Our justice system is rank…"
63,Dear Bots ! I love you all 💗 Now Come On ! You can do it. We will annouce the results by tagging the people calling you…
64,"The real man smiles in trouble, gathers strength from distress, and grows brave by reflection. we are proud of our leade…"
65,"From Dr Faisal Sultan to Abdul Qadir Patel as Federal Minister for National Health Department.
What a fall from grace f…"
66,"#PakistanNeedsElection
#امپورٹڈ_حکومت_نامنظور 
The puppet regime is ready to do price hike carpeting shell… https://t.co/ZilkmLj2cB"
67,"What I perceive is, above all justice, where everyone has the same law. ~Imran Khan
#امپورٹڈ_حکومت_نامنظور"
68,TLP was created by Nawaz Sharif #امپورٹڈ_حکومت_نامنظور
69,"Bot reporting for duty
#امپورٹڈ_حکومت_نامنظور
#امپورٹڈ_حکومت_نامنظور
#امپورٹڈ_حکومت_نامنظور
#امپورٹڈ_حکومت_نامنظور
#امپور…"
70,"#امپورٹڈ_حکومت_نامنظور

Top Trend in Pakistan for the last 10 days! 

Well done 🤖s https://t.co/pFWArtrNKG"
71,"From the 34 newly imported cabinet members, 24 are out on Bail with cases pending for years.  Our justice system is rank…"
72,Who will do accountibility against judiciary and media houses ????#امپورٹڈ_حکومت_نامنظور
73,"Mashallah, our Dentist President is giving a good old fashioned painful root canal treatment to this Imported Government…"
74,A professional man like Dr Faisal Sultan is replaced by Qadir Patel. Kis kis baat par banda rona roye. #امپورٹڈ_حکومت_نامنظ…
75,"Baap PM, beta CM, now corruption will be from AM to PM  #امپورٹڈ_حکومت_نامنظور"
76,"She is the Revolution. Sub kee kampain tang rahee hain. Sub Kee.
#امپورٹڈ_حکومت_نامنظور
#PakistanNeedsElections https://t.c…"
77,Pointless to expose stooges of PDM on media as King Khan has already achieved that heist. These minions are irrelevant.…
78,"Good day BOTS how ya all doing 

#امپورٹڈ_حکومت_نامنظور"
79,Perfect Chitrol #امپورٹڈ_حکومت_نامنظور
80,"#امپورٹڈ_حکومت_نامنظور 
lahorio agly pichly record torny hen Tum logon ne .InshAllah"
81,Abdul Qadir Patel #Health minister of imported govt holds a #BA degree from fed Urdu Univ. He'll replace Dr. Faisal Su…
82,"#امپورٹڈ_حکومت_نامنظور

#PakistanNeedsElectionsُ 
From lime light"
83,I Omar Ayub Khan am NOT a BOT #امپورٹڈ_حکومت_نامنظور https://t.co/6S96V6fSDq
84,Islam also forbids us from pushing to steal. You are deceitful and corrupt. What is the status of your condemnation? The…
85,"24 out of 34 newly selected Ministers or on bail with charges from theft to murder and rape. Let this sink in. 
#امپورٹڈ_حکوم…"
86,What a joke this country has been turned into after the government was snatched from a patriotic and uncorrupt charismati…
87,"His one 'yes' to America could give him long tenure easily with no issues but he said 'No' for us, for his country and sele…"
88,"Spot On 

 #امپورٹڈ_حکومت_نامنظور https://t.co/s7oUktgA7j"
89,A professional man like Dr Faisal Sultan is replaced by Qadir Patel. Kis kis baat par banda rona roye. #امپورٹڈ_حکومت_نامنظ…
90,"#امپورٹڈ_حکومت_نامنظور
Down To Earth Leader Pakistanio https://t.co/lRu2gqdclI"
91,"My name is Muhammad Mansoor, I'm Pakistani 🇵🇰, and I'm not a Bot. 
#امپورٹڈ_حکومت_نامنظور"
92,"The tallest oak in the forest was once a nut who held its ground.

Long Live Khan. Keep Going.

#امپورٹڈ_حکومت_نامنظور…"
93,"The real man smiles in trouble, gathers strength from distress, and grows brave by reflection. we are proud of our leade…"
94,We are with you ❣#امپورٹڈ_حکومت_نامنظور https://t.co/qBLlX6QDm2
95,A professional man like Dr Faisal Sultan is replaced by Qadir Patel. Kis kis baat par banda rona roye. #امپورٹڈ_حکومت_نامنظ…
96,"Excuse me...
Din ko hum robot hoty hain.
Raat ko hum Jin bhoot hoty hain.
Thanks! 

#امپورٹڈ_حکومت_نامنظور"
97,"|￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣|
                #امپورٹڈ_حکومت_نامنظور  
|＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿|
                     \ (•◡•) /…"
98,"We are the hundreds of thousands who turned up in Peshawar. We stand with Imran Khan. And yes, we are NOT A BOT.

And…"
99,Check all the hood and positive things Imran Khan was doing and taking Pakistan into the list of proud and honest nati…
100,I Omar Ayub Khan am NOT a BOT #امپورٹڈ_حکومت_نامنظور https://t.co/6S96V6fSDq
101,"The real man smiles in trouble, gathers strength from distress, and grows brave by reflection.    #امپورٹڈ_حکومت_نامنظور…"
102,"Hey Maryam Aurangzeb,
I've found the culprit bots getting ready for PTI Lahore Jalsa.
 #امپورٹڈ_حکومت_نامنظور 
#BreakingNews…"
103,"Curruption again start from AM to PM😂
#BreakingNews #میرا_تحفہ_میری_مرضی #امپورٹڈ_حکومت_نامنظور https://t.co/OQbTwfTsHk"
104,"ARIF ALVI IS ALSO A HERO OF PTI 
#امپورٹڈ_حکومت_نامنظور https://t.co/Hqh7ID19wJ"
105,"In Imran Khan's era, PTV earned around PKR 4B, the highest revenue ever!

#imrankhanPTI #PTI #ImranKhanPrimeMinister #…"
106,"Hello BOTS! Chief BOT here 
#امپورٹڈ_حکومت_نامنظور"
107,"Look who is coming in Lahore, yes one of the honest man in the history of Pakistan Imran khan is coming in Lahore minar e…"
108,"Meet your new law minister of Islamic Republic Of Pakistan ! 
#MustafaNawazKhokhar

#امپورٹڈ_حکومت_نامنظور 
 Keep it up…"
109,This is what he deserves!#امپورٹڈ_حکومت_نامنظور https://t.co/ev9Lx8TaxN
110,"His one 'yes' to America could give him long tenure easily with no issues but he said 'No' for us, for his country and sele…"
111,"Fuss over Abdul Qadir Patel's inclusion in the cabinet is incomprehensible.

-Allegations of illegal weapons
-Accus… https://t.co/PYLGxsg9OY"
112,Dear Bots ! I love you all 💗 Now Come On ! You can do it. We will annouce the results by tagging the people calling you…
113,"Hello bots.we are heading towards our mission to make this trend historical. 
 #امپورٹڈ_حکومت_نامنظور"
114,"Off to LAHORE for 21st April @PTIofficial #LAHORE JALSA on direction of Chairman @ImranKhanPTI 

#امپورٹڈ_حکومت_نامنظو…"
115,A sad and unfortunate day for Islamic Republic of Pakistan. Most of these ministers are facing serious corruption charges…
116,I'm NOT A BOT but we are well informed that's why we all stand with our Great Leader the one and only Imran Khan ❤️❤️…
117,"82 years after Lahore passed the Pakistan Resolution, this city shall pledge to the country's Haqeeqi Azadi Resolution. 
B…"
118,"My Name is Lal Chand Malhi &amp; I m not a bot. 

#امپورٹڈ_حکومت_نامنظور"
119,"THIS 

#امپورٹڈ_حکومت_نامنظور https://t.co/1OJwmR9DPU"
120,"Once again we managed to make this trend the No. 1 trend.
Inspite of numberless consipricies to make this trend down.…"
121,"People all across Mazar-e-Quaid,  Karachi. This is not Tabdeli...There's a revolution coming. 
#امپورٹڈ_حکومت_نامنظور…"
122,"FOLLOW  &amp;  FOLLOW BACK

#امپورٹڈ_حکومت_نامنظور
#notAbot
#follow  #followback  #rt 
@ImranKhanPTI #IMRANKHAN
#LahoreJals…"
123,Good Morning #امپورٹڈ_حکومت_نامنظور
124,"Great show by @arsched &amp; his team, can see quite an effort with well researched content, explained in chronological order. #ا…"
125,"I am bot and I love this trend 
 #امپورٹڈ_حکومت_نامنظور"
126,"82 years after Lahore passed the Pakistan Resolution, this city shall pledge to the country's Haqeeqi Azadi Resolution. 
B…"
127,"His one 'yes' to America could give him long tenure easily with no issues but he said 'No' for us, for his country and sele…"
128,"She is the Revolution. Sub kee kampain tang rahee hain. Sub Kee.
#امپورٹڈ_حکومت_نامنظور
#PakistanNeedsElections https://t.c…"
129,Dollar 184.4 interbank. Is there anyone from PMLN to highlight this https://t.co/8BmnWKM9sJ #امپورٹڈ_حکومت_نامنظور
130,"Right now in Toronto
#امپورٹڈ_حکومت_نامنظور https://t.co/jcwU7Jf3gb"
131,A professional man like Dr Faisal Sultan is replaced by Qadir Patel. Kis kis baat par banda rona roye. #امپورٹڈ_حکومت_نامنظ…
132,"After Dr. Faisal Sultan and his brilliant response to COVID, saving the country from crumbling, the new govt's choice fo…"
133,"Baap PM, Beta CM, now corruption will be from AM to PM  #امپورٹڈ_حکومت_نامنظور
#امپورٹڈ_گورمنٹ_نامنظور https://t.co/cORU…"
134,"Thank you Karachiiiiiiiii
#امپورٹڈ_حکومت_نامنظور https://t.co/ZilWyG0dOh"
135,"I have just come to know that DEEP FAKE videos against PTI are being released.

Serious DEEP FAKE that can only be crea…"
136,"For those who used to say k Imran Khan to acha hai - lekin uss ki team qaabil nahi.

IK's SAPM on Health:
Dr. Faisal Sultan…"
137,The popularity of Pakistan's adopted hashtag against Imported Government can be gauged by the fact that people have starte…
138,"My Name is Lal Chand Malhi &amp; I m not a bot. 

#امپورٹڈ_حکومت_نامنظور"
139,A professional man like Dr Faisal Sultan is replaced by Qadir Patel. Kis kis baat par banda rona roye. #امپورٹڈ_حکومت_نامنظ…
140,"For those who used to say k Imran Khan to acha hai - lekin uss ki team qaabil nahi.

IK's SAPM on Health:
Dr. Faisal Sultan…"
141,"Used wrong hashtag @ImranRiazKhan, please correct &amp; repost #امپورٹڈ_حکومت_نامنظور https://t.co/2lzGsUbpu4"
142,Abdul Qadir Patel #Health minister of imported govt holds a #BA degree from fed Urdu Univ. He'll replace Dr. Faisal Su…
